escenario,symbol,nombre,grupo,valor_eur,coste_eur,peso_pct,plusvalia_eur,plusvalia_pct
medio,CLYM,"Climb Bio, Inc. - Common Stock",equity_us,1999.0,1999.0,5.0,0.0,0.0
medio,COAG,"Hemab Therapeutics Holdings, Inc. - Common S",equity_us,1999.0,1999.0,5.0,0.0,0.0
medio,CRWL,,,1999.0,1999.0,5.0,0.0,0.0
medio,HYPE/USD,HYPE/USD,crypto,1999.0,1999.0,5.0,0.0,0.0
medio,NTAP,"NetApp, Inc. - Common Stock",equity_us,1999.0,1999.0,5.0,0.0,0.0
medio,ORKA,"Oruka Therapeutics, Inc. - Common Stock",equity_us,1999.0,1999.0,5.0,0.0,0.0
medio,PAYS,"Paysign, Inc. - Common Stock",equity_us,1999.0,1999.0,5.0,0.0,0.0
medio,PLSE,"Pulse Biosciences, Inc - Common Stock",equity_us,1999.0,1999.0,5.0,0.0,0.0
medio,RRGB,"Red Robin Gourmet Burgers, Inc. - Common Sto",equity_us,1999.0,1999.0,5.0,0.0,0.0
medio,SB=F,SB=F,commodity,1999.0,1999.0,5.0,0.0,0.0
medio,SNOY,YieldMax SNOW Option Income Strategy ETF,etf,1999.0,1999.0,5.0,0.0,0.0
medio,TXG,"10x Genomics, Inc. - Common Stock",equity_us,1999.0,1999.0,5.0,0.0,0.0
medio,USDCHF=X,USDCHF=X,fx,1999.0,1999.0,5.0,0.0,0.0
medio,^IBEX,^IBEX,index,1999.0,1999.0,5.0,0.0,0.0
largo,APGE,"Apogee Therapeutics, Inc. - Common Stock",equity_us,1999.0,1999.0,5.02,0.0,0.0
largo,ATEX,Anterix Inc. - Common Stock,equity_us,1999.0,1999.0,5.02,0.0,0.0
largo,BIL,BIL,bond,1999.0,1999.0,5.02,0.0,0.0
largo,BWET,Breakwave Tanker Shipping ETF,etf,1999.0,1999.0,5.02,0.0,0.0
largo,CDNA,"CareDx, Inc. - Common Stock",equity_us,1999.0,1999.0,5.02,0.0,0.0
largo,CHPS,Xtrackers Semiconductor Select Equity ETF,etf,1999.0,1999.0,5.02,0.0,0.0
largo,DFTX,"Definium Therapeutics, Inc.  - Common Shares",equity_us,1999.0,1999.0,5.02,0.0,0.0
largo,DLLL,,,1999.0,1999.0,5.02,0.0,0.0
largo,DNTH,"Dianthus Therapeutics, Inc. - Common Stock",equity_us,1999.0,1999.0,5.02,0.0,0.0
largo,NESR,National Energy Services Reunited Corp - Ord,equity_us,1999.0,1999.0,5.02,0.0,0.0
largo,ORKA,"Oruka Therapeutics, Inc. - Common Stock",equity_us,1999.0,1999.0,5.02,0.0,0.0
largo,RVMD,"Revolution Medicines, Inc. - Common Stock",equity_us,1999.0,1999.0,5.02,0.0,0.0
largo,SPHR,Sphere Entertainment Co. Class A Common Stoc,equity_us,1999.0,1999.0,5.02,0.0,0.0
largo,SYRE,"Spyre Therapeutics, Inc. - Common Stock",equity_us,1999.0,1999.0,5.02,0.0,0.0
largo,TWST,Twist Bioscience Corporation - Common Stock,equity_us,1999.0,1999.0,5.02,0.0,0.0
largo,TXG,"10x Genomics, Inc. - Common Stock",equity_us,1999.0,1999.0,5.02,0.0,0.0
largo,USDJPY=X,USDJPY=X,fx,1969.77001953125,1999.0,4.940000057220459,-29.229999542236328,-1.4600000381469727
largo,USO,USO,commodity,1999.0,1999.0,5.02,0.0,0.0
largo,ZEC/USD,ZEC/USD,crypto,1999.0,1999.0,5.02,0.0,0.0
largo,^N225,^N225,index,1895.2099609375,1999.0,4.760000228881836,-103.79000091552734,-5.190000057220459
combinada,ALOT,"AstroNova, Inc. - Common Stock",equity_us,1999.0,1999.0,5.02,0.0,0.0
combinada,ASTY,,,1999.0,1999.0,5.02,0.0,0.0
combinada,ATEX,Anterix Inc. - Common Stock,equity_us,1999.0,1999.0,5.02,0.0,0.0
combinada,AYA,Aya Gold & Silver Inc. - Common Shares,equity_us,1999.0,1999.0,5.02,0.0,0.0
combinada,BIL,BIL,bond,1999.0,1999.0,5.02,0.0,0.0
combinada,BWET,Breakwave Tanker Shipping ETF,etf,1999.0,1999.0,5.02,0.0,0.0
combinada,BXC,Bluelinx Holdings Inc. Common Stock,equity_us,1999.0,1999.0,5.02,0.0,0.0
combinada,CDNA,"CareDx, Inc. - Common Stock",equity_us,1999.0,1999.0,5.02,0.0,0.0
combinada,CHPS,Xtrackers Semiconductor Select Equity ETF,etf,1999.0,1999.0,5.02,0.0,0.0
combinada,DFTX,"Definium Therapeutics, Inc.  - Common Shares",equity_us,1999.0,1999.0,5.02,0.0,0.0
combinada,DLLL,,,1999.0,1999.0,5.02,0.0,0.0
combinada,DNTH,"Dianthus Therapeutics, Inc. - Common Stock",equity_us,1999.0,1999.0,5.02,0.0,0.0
combinada,NESR,National Energy Services Reunited Corp - Ord,equity_us,1999.0,1999.0,5.02,0.0,0.0
combinada,RVMD,"Revolution Medicines, Inc. - Common Stock",equity_us,1999.0,1999.0,5.02,0.0,0.0
combinada,SYRE,"Spyre Therapeutics, Inc. - Common Stock",equity_us,1999.0,1999.0,5.02,0.0,0.0
combinada,TXG,"10x Genomics, Inc. - Common Stock",equity_us,1999.0,1999.0,5.02,0.0,0.0
combinada,USDJPY=X,USDJPY=X,fx,1969.77001953125,1999.0,4.940000057220459,-29.229999542236328,-1.4600000381469727
combinada,USO,USO,commodity,1999.0,1999.0,5.02,0.0,0.0
combinada,ZEC/USD,ZEC/USD,crypto,1999.0,1999.0,5.02,0.0,0.0
combinada,^N225,^N225,index,1895.2099609375,1999.0,4.760000228881836,-103.79000091552734,-5.190000057220459
